draft_year,player,result
2009,Blake Griffin,added by audit
2009,Hasheem Thabeet,added by audit
2009,James Harden,added by audit
2009,Tyreke Evans,added by audit
2009,Ricky Rubio,added by audit
2009,Stephen Curry,added by audit
2009,DeMar DeRozan,added by audit
2009,Jrue Holiday,added by audit
2009,Jeff Teague,added by audit
2009,Taj Gibson,added by audit
2009,Danny Green,added by audit
2009,Patrick Beverley,added by audit
2010,John Wall,added by audit
2010,Evan Turner,added by audit
2010,Derrick Favors,added by audit
2010,Wesley Johnson,added by audit
2010,DeMarcus Cousins,added by audit
2010,Greg Monroe,added by audit
2010,Gordon Hayward,added by audit
2010,Paul George,added by audit
2010,Eric Bledsoe,added by audit
2010,Hassan Whiteside,added by audit
2011,Kyrie Irving,added by audit
2011,Derrick Williams,added by audit
2011,Enes Kanter,added by audit
2011,Tristan Thompson,added by audit
2011,Jonas Valanciunas,added by audit
2011,Kemba Walker,added by audit
2011,Klay Thompson,added by audit
2011,Kawhi Leonard,added by audit
2011,Nikola Vucevic,added by audit
2011,Jimmy Butler,added by audit
2011,Bojan Bogdanovic,added by audit
2011,Isaiah Thomas,added by audit
2012,Anthony Davis,added by audit
2012,Michael Kidd-Gilchrist,added by audit
2012,Bradley Beal,added by audit
2012,Dion Waiters,added by audit
2012,Damian Lillard,added by audit
2012,Harrison Barnes,added by audit
2012,Andre Drummond,added by audit
2012,Draymond Green,added by audit
2012,Khris Middleton,added by audit
2012,Jae Crowder,added by audit
2013,Anthony Bennett,added by audit
2013,Victor Oladipo,added by audit
2013,Otto Porter Jr.,added by audit
2013,Cody Zeller,added by audit
2013,Alex Len,added by audit
2013,Nerlens Noel,added by audit
2013,CJ McCollum,added by audit
2013,Steven Adams,added by audit
2013,Giannis Antetokounmpo,added by audit
2013,Rudy Gobert,added by audit
2014,Andrew Wiggins,added by audit
2014,Jabari Parker,added by audit
2014,Joel Embiid,added by audit
2014,Aaron Gordon,added by audit
2014,Dante Exum,added by audit
2014,Marcus Smart,added by audit
2014,Julius Randle,added by audit
2014,Zach LaVine,added by audit
2014,T.J. Warren,added by audit
2014,Jusuf Nurkic,added by audit
2014,Clint Capela,added by audit
2014,Nikola Jokic,added by audit
2014,Jordan Clarkson,added by audit
2015,Karl-Anthony Towns,added by audit
2015,D'Angelo Russell,added by audit
2015,Jahlil Okafor,added by audit
2015,Kristaps Porzingis,added by audit
2015,Devin Booker,added by audit
2015,Myles Turner,added by audit
2015,Terry Rozier,added by audit
2015,Montrezl Harrell,added by audit
2015,Norman Powell,added by audit
2016,Ben Simmons,added by audit
2016,Brandon Ingram,added by audit
2016,Jaylen Brown,added by audit
2016,Dragan Bender,added by audit
2016,Kris Dunn,added by audit
2016,Buddy Hield,added by audit
2016,Jamal Murray,added by audit
2016,Domantas Sabonis,added by audit
2016,Caris LeVert,added by audit
2016,Pascal Siakam,added by audit
2016,Dejounte Murray,added by audit
2016,Malcolm Brogdon,added by audit
2016,Ivica Zubac,added by audit
