team,player,portrait_filename
"Boston Celtics","Al Brightman",al_brightman.webp
"Boston Celtics","Chuck Connors",chuck_connors.webp
"Boston Celtics","Warren Fenley",warren_fenley.webp
"Boston Celtics","Wyndol Gray",wyndol_gray.webp
"Boston Celtics","Mel Hirsch",mel_hirsch.webp
"Boston Celtics","Tony Kappen",tony_kappen.webp
"Boston Celtics","Harold Kottman",harold_kottman.webp
"Boston Celtics","Connie Simmons",connie_simmons.webp
"Boston Celtics","Johnny Simmons",johnny_simmons.webp
"Boston Celtics","Art Spector",art_spector.webp
"Boston Celtics","Virgil Vaughn",virgil_vaughn.webp
"Boston Celtics","Red Wallace",red_wallace.webp
"Chicago Stags","Norm Baker",norm_baker.webp
"Chicago Stags","Swede Carlson",swede_carlson.webp
"Chicago Stags","Bill Davis",bill_davis.webp
"Chicago Stags","Bob Duffy",bob_duffy.webp
"Chicago Stags","Chuck Gilmur",chuck_gilmur.webp
"Chicago Stags","Chick Halbert",chick_halbert.webp
"Chicago Stags","Tony Jaros",tony_jaros.webp
"Chicago Stags","Wibs Kautz",wibs_kautz.webp
"Chicago Stags","Doyle Parrack",doyle_parrack.webp
"Chicago Stags","Mickey Rottner",mickey_rottner.webp
"Chicago Stags","Jim Seminoff",jim_seminoff.webp
"Chicago Stags","Max Zaslofsky",max_zaslofsky.webp
"Cleveland Rebels","Frankie Baumholtz",frankie_baumholtz.webp
"Cleveland Rebels","Ned Endress",ned_endress.webp
"Cleveland Rebels","Bob Faught",bob_faught.webp
"Cleveland Rebels","Kleggie Hermsen",kleggie_hermsen.webp
"Cleveland Rebels","Leo Mogus",leo_mogus.webp
"Cleveland Rebels","Mel Riebe",mel_riebe.webp
"Cleveland Rebels","Irv Rothenberg",irv_rothenberg.webp
"Cleveland Rebels","Kenny Sailors",kenny_sailors.webp
"Cleveland Rebels","Ben Scharnus",ben_scharnus.webp
"Cleveland Rebels","Dick Schulz",dick_schulz.webp
"Cleveland Rebels","Nick Shaback",nick_shaback.webp
"Detroit Falcons","Chet Aubuchon",chet_aubuchon.webp
"Detroit Falcons","Harold Brown",harold_brown.webp
"Detroit Falcons","Bob Dille",bob_dille.webp
"Detroit Falcons","John Janisch",john_janisch.webp
"Detroit Falcons","Tom King",tom_king.webp
"Detroit Falcons","Grady Lewis",grady_lewis.webp
