year,player,portrait_filename
2009,Blake Griffin,blake_griffin.webp
2009,Hasheem Thabeet,hasheem_thabeet.webp
2009,James Harden,james_harden.webp
2009,Tyreke Evans,tyreke_evans.webp
2009,Ricky Rubio,ricky_rubio.webp
2009,Stephen Curry,stephen_curry.webp
2009,DeMar DeRozan,demar_derozan.webp
2009,Jrue Holiday,jrue_holiday.webp
2009,Jeff Teague,jeff_teague.webp
2009,Taj Gibson,taj_gibson.webp
2009,Danny Green,danny_green.webp
2009,Patrick Beverley,patrick_beverley.webp
2010,John Wall,john_wall.webp
2010,Evan Turner,evan_turner.webp
2010,Derrick Favors,derrick_favors.webp
2010,Wesley Johnson,wesley_johnson.webp
2010,DeMarcus Cousins,demarcus_cousins.webp
2010,Greg Monroe,greg_monroe.webp
2010,Gordon Hayward,gordon_hayward.webp
2010,Paul George,paul_george.webp
2010,Eric Bledsoe,eric_bledsoe.webp
2010,Hassan Whiteside,hassan_whiteside.webp
2011,Kyrie Irving,kyrie_irving.webp
2011,Derrick Williams,derrick_williams.webp
2011,Enes Kanter,enes_kanter.webp
2011,Tristan Thompson,tristan_thompson.webp
2011,Jonas Valanciunas,jonas_valanciunas.webp
2011,Kemba Walker,kemba_walker.webp
2011,Klay Thompson,klay_thompson.webp
2011,Kawhi Leonard,kawhi_leonard.webp
2011,Nikola Vucevic,nikola_vucevic.webp
2011,Jimmy Butler,jimmy_butler.webp
2011,Bojan Bogdanovic,bojan_bogdanovic.webp
2011,Isaiah Thomas,isaiah_thomas.webp
2012,Anthony Davis,anthony_davis.webp
2012,Michael Kidd-Gilchrist,michael_kidd_gilchrist.webp
2012,Bradley Beal,bradley_beal.webp
2012,Dion Waiters,dion_waiters.webp
2012,Damian Lillard,damian_lillard.webp
2012,Harrison Barnes,harrison_barnes.webp
2012,Andre Drummond,andre_drummond.webp
2012,Draymond Green,draymond_green.webp
2012,Khris Middleton,khris_middleton.webp
2012,Jae Crowder,jae_crowder.webp
2013,Anthony Bennett,anthony_bennett.webp
2013,Victor Oladipo,victor_oladipo.webp
2013,Otto Porter Jr.,otto_porter_jr.webp
2013,Cody Zeller,cody_zeller.webp
2013,Alex Len,alex_len.webp
2013,Nerlens Noel,nerlens_noel.webp
2013,CJ McCollum,cj_mccollum.webp
2013,Steven Adams,steven_adams.webp
2013,Giannis Antetokounmpo,giannis_antetokounmpo.webp
2013,Rudy Gobert,rudy_gobert.webp
2014,Andrew Wiggins,andrew_wiggins.webp
2014,Jabari Parker,jabari_parker.webp
2014,Joel Embiid,joel_embiid.webp
2014,Aaron Gordon,aaron_gordon.webp
2014,Dante Exum,dante_exum.webp
2014,Marcus Smart,marcus_smart.webp
2014,Julius Randle,julius_randle.webp
2014,Zach LaVine,zach_lavine.webp
2014,T.J. Warren,t_j_warren.webp
2014,Jusuf Nurkic,jusuf_nurkic.webp
2014,Clint Capela,clint_capela.webp
2014,Nikola Jokic,nikola_jokic.webp
2014,Jordan Clarkson,jordan_clarkson.webp
2015,Karl-Anthony Towns,karl_anthony_towns.webp
2015,D'Angelo Russell,dangelo_russell.webp
2015,Jahlil Okafor,jahlil_okafor.webp
2015,Kristaps Porzingis,kristaps_porzingis.webp
2015,Devin Booker,devin_booker.webp
2015,Myles Turner,myles_turner.webp
2015,Terry Rozier,terry_rozier.webp
2015,Montrezl Harrell,montrezl_harrell.webp
2015,Norman Powell,norman_powell.webp
2016,Ben Simmons,ben_simmons.webp
2016,Brandon Ingram,brandon_ingram.webp
2016,Jaylen Brown,jaylen_brown.webp
2016,Dragan Bender,dragan_bender.webp
2016,Kris Dunn,kris_dunn.webp
2016,Buddy Hield,buddy_hield.webp
2016,Jamal Murray,jamal_murray.webp
2016,Domantas Sabonis,domantas_sabonis.webp
2016,Caris LeVert,caris_levert.webp
2016,Pascal Siakam,pascal_siakam.webp
2016,Dejounte Murray,dejounte_murray.webp
2016,Malcolm Brogdon,malcolm_brogdon.webp
2016,Ivica Zubac,ivica_zubac.webp
