draft_year,player,result
1977,Kent Benson,added by audit
1977,Otis Birdsong,added by audit
1977,Marques Johnson,added by audit
1977,Bernard King,added by audit
1977,Jack Sikma,added by audit
1977,Norm Nixon,added by audit
1977,Walter Davis,added by audit
1977,Cedric Maxwell,added by audit
1977,Rickey Green,added by audit
1977,Eddie Johnson,added by audit
1978,Mychal Thompson,already present
1978,Phil Ford,already present
1978,Rick Robey,already present
1978,Micheal Ray Richardson,already present
1978,Reggie Theus,already present
1978,Larry Bird,already present
1978,Maurice Cheeks,added by audit
1978,Mike Mitchell,already present
1978,Purvis Short,already present
1979,Magic Johnson,already present
1979,David Greenwood,already present
1979,Bill Cartwright,already present
1979,Greg Kelser,already present
1979,Sidney Moncrief,already present
1979,Jim Paxson,already present
1979,Bill Laimbeer,added by audit
1979,Calvin Natt,already present
1979,James Donaldson,added by audit
1980,Joe Barry Carroll,already present
1980,Darrell Griffith,already present
1980,Kevin McHale,already present
1980,Mike Gminski,already present
1980,Kiki Vandeweghe,already present
1980,Andrew Toney,already present
1980,Jeff Ruland,added by audit
1980,Rick Mahorn,added by audit
1981,Mark Aguirre,already present
1981,Isiah Thomas,already present
1981,Buck Williams,already present
1981,Al Wood,already present
1981,Danny Vranes,already present
1981,Orlando Woolridge,already present
1981,Steve Johnson,already present
1981,Tom Chambers,already present
1981,Rolando Blackman,already present
1981,Kelly Tripucka,already present
1981,Larry Nance,already present
1981,Danny Ainge,added by audit
1982,James Worthy,already present
1982,Terry Cummings,already present
1982,Dominique Wilkins,already present
1982,Bill Garnett,already present
1982,Fat Lever,already present
1982,Sleepy Floyd,already present
1982,Ricky Pierce,already present
1982,Mark Eaton,added by audit
1983,Ralph Sampson,already present
1983,Steve Stipanovich,already present
1983,Rodney McCray,already present
1983,Byron Scott,already present
1983,Sidney Green,already present
1983,Dale Ellis,already present
1983,Derek Harper,already present
1983,Clyde Drexler,already present
1983,Doc Rivers,added by audit
1983,Jeff Malone,already present
1984,Hakeem Olajuwon,already present
1984,Sam Bowie,already present
1984,Michael Jordan,already present
1984,Sam Perkins,already present
1984,Charles Barkley,already present
1984,Alvin Robertson,already present
1984,Otis Thorpe,already present
1984,Kevin Willis,already present
1984,John Stockton,already present
1984,Jerome Kersey,added by audit
