issue,player,incorrect_year,kept_year,status
duplicate historical draft entry,Harry Gallatin,1948,1947,corrected
duplicate historical draft entry,Dick Garmaker,1954,1955,corrected
duplicate historical draft entry,Jim King,1955,1963,corrected
duplicate historical draft entry,K.C. Jones,1955,1956,corrected
duplicate historical draft entry,Si Green,1955,1956,corrected
duplicate historical draft entry,Willie Naulls,1955,1956,corrected
duplicate historical draft entry,Sam Jones,1956,1957,corrected
duplicate historical draft entry,John McCarthy,1956,1957,corrected
duplicate historical draft entry,Woody Sauldsberry,1956,1957,corrected
duplicate historical draft entry,Johnny Green,1957,1959,corrected
duplicate historical draft entry,Jerry Sloan,1964,1965,corrected
duplicate historical draft entry,Doug Moe,1967,1961,corrected
duplicate historical draft entry,Randy Smith,1970,1971,corrected
duplicate historical draft entry,George McGinnis,1971,1973,corrected
duplicate historical draft entry,George Gervin,1972,1974,corrected
duplicate historical draft entry,M.L. Carr,1973,1975,corrected
