year,player,portrait_filename
1971,"Austin Carr",austin_carr.webp
1971,"Sidney Wicks",sidney_wicks.webp
1971,"Elmore Smith",elmore_smith.webp
1971,"Ken Durrett",ken_durrett.webp
1971,"George Trapp",george_trapp.webp
1971,"Fred Brown",fred_brown.webp
1971,"Clifford Ray",clifford_ray.webp
1971,"Curtis Rowe",curtis_rowe.webp
1971,"Stan Love",stan_love.webp
1971,"John Roche",john_roche.webp
1971,"Artis Gilmore",artis_gilmore.webp
1971,"Spencer Haywood",spencer_haywood.webp
1971,"George McGinnis",george_mcginnis.webp
1971,"Randy Smith",randy_smith.webp
1971,"Jim Cleamons",jim_cleamons.webp
1971,"Phil Chenier",phil_chenier.webp
1972,"LaRue Martin",larue_martin.webp
1972,"Bob McAdoo",bob_mcadoo.webp
1972,"Dwight Davis",dwight_davis.webp
1972,"Corky Calhoun",corky_calhoun.webp
1972,"Fred Boyd",fred_boyd.webp
1972,"Russ Lee",russ_lee.webp
1972,"Paul Westphal",paul_westphal.webp
1972,"Tom Riker",tom_riker.webp
1972,"Bob Nash",bob_nash.webp
1972,"Jim Price",jim_price.webp
1972,"Julius Erving",julius_erving.webp
1972,"George Gervin",george_gervin.webp
1972,"Brian Taylor",brian_taylor.webp
1972,"Swen Nater",swen_nater.webp
1972,"Jim Chones",jim_chones.webp
1973,"Doug Collins",doug_collins.webp
1973,"Jim Brewer",jim_brewer.webp
1973,"Ernie DiGregorio",ernie_digregorio.webp
1973,"Mike Green",mike_green.webp
1973,"Kermit Washington",kermit_washington.webp
1973,"Ed Ratleff",ed_ratleff.webp
1973,"Ron Behagen",ron_behagen.webp
1973,"Mike Bantom",mike_bantom.webp
1973,"Dwight Jones",dwight_jones.webp
1973,"John Brown",john_brown.webp
1973,"Larry Kenon",larry_kenon.webp
1973,"George McGinnis",george_mcginnis.webp
1973,"Caldwell Jones",caldwell_jones.webp
1973,"Billy Paultz",billy_paultz.webp
1973,"M.L. Carr",m_l_carr.webp
1974,"Bill Walton",bill_walton.webp
1974,"Marvin Barnes",marvin_barnes.webp
1974,"Tom Burleson",tom_burleson.webp
1974,"John Shumate",john_shumate.webp
1974,"Bobby Jones",bobby_jones.webp
1974,"Scott Wedman",scott_wedman.webp
1974,"Brian Winters",brian_winters.webp
1974,"Campy Russell",campy_russell.webp
1974,"Keith Wilkes",keith_wilkes.webp
1974,"Maurice Lucas",maurice_lucas.webp
1974,"Truck Robinson",truck_robinson.webp
1974,"Billy Knight",billy_knight.webp
1974,"George Gervin",george_gervin.webp
1974,"John Drew",john_drew.webp
1974,"Phil Smith",phil_smith.webp
1975,"David Thompson",david_thompson.webp
1975,"David Meyers",david_meyers.webp
1975,"Marvin Webster",marvin_webster.webp
1975,"Alvan Adams",alvan_adams.webp
1975,"Darryl Dawkins",darryl_dawkins.webp
1975,"Lionel Hollins",lionel_hollins.webp
1975,"Gus Williams",gus_williams.webp
1975,"Lloyd Free",lloyd_free.webp
1975,"Dan Roundfield",dan_roundfield.webp
1975,"Joe Bryant",joe_bryant.webp
1975,"M.L. Carr",m_l_carr.webp
1975,"Bobby Gross",bobby_gross.webp
1975,"Kevin Grevey",kevin_grevey.webp
1975,"Rickey Sobers",rickey_sobers.webp
1975,"Mike Sojourner",mike_sojourner.webp
1976,"John Lucas",john_lucas.webp
1976,"Scott May",scott_may.webp
1976,"Richard Washington",richard_washington.webp
1976,"Leon Douglas",leon_douglas.webp
1976,"Ron Lee",ron_lee.webp
1976,"Adrian Dantley",adrian_dantley.webp
1976,"Robert Parish",robert_parish.webp
1976,"Alex English",alex_english.webp
1976,"Dennis Johnson",dennis_johnson.webp
1976,"Mitch Kupchak",mitch_kupchak.webp
1976,"Quinn Buckner",quinn_buckner.webp
1976,"Phil Ford",phil_ford.webp
1976,"Lonnie Shelton",lonnie_shelton.webp
1976,"John Kuester",john_kuester.webp
1976,"Wally Walker",wally_walker.webp
